群名,群类别,群人数,消息数,稠密度,性别比,平均年龄,年龄差,地域集中度,手机比例,会话数,无回应比例,夜聊比例,图片比例
**迹(新群号231023916),1.0,65.0,115.0,0.0509615384615,0.661016949153,21.5769230769,6.61102271224,0.236363636364,0.365217391304,9.0,0.444444444444,0.304347826087,0.460869565217
**明休闲娱乐群,1.0,110.0,1851.0,0.0301918265221,0.616822429907,29.2823529412,7.88388044901,0.264367816092,0.418692598595,126.0,0.452380952381,0.328648648649,0.0302539168017
**云再起,1.0,63.0,5075.0,0.047619047619,0.936507936508,23.0158730159,4.4915867154,0.222222222222,0.0949753694581,144.0,0.333333333333,0.311181226583,0.229950738916
**远镜爱好者论坛,1.0,56.0,3.0,0.0165584415584,0.865384615385,31.325,8.77036914845,0.295454545455,0.0,3.0,1.0,0.0,0.0
**狗游娱乐网④,1.0,122.0,50.0,0.0115837962336,0.913793103448,22.4380952381,4.57097219944,0.209090909091,0.42,10.0,0.7,0.0212765957447,0.06
**傻love婷姐,1.0,76.0,1374.0,0.0221052631579,0.957746478873,20.203125,5.76134665112,0.296875,0.125181950509,82.0,0.487804878049,0.313182811362,0.0131004366812
Hit￡HunterX,1.0,126.0,52054.0,0.0632380952381,0.888888888889,23.6806722689,3.92135453597,0.658333333333,0.138913436047,584.0,0.297945205479,0.205821325648,0.0248972221155
**七连新人群,1.0,76.0,45.0,0.0133333333333,0.875,26.2765957447,3.61263814525,0.208333333333,0.0444444444444,6.0,0.5,0.25,0.0222222222222
**中国微博群,1.0,58.0,1.0,0.0275257108288,0.818181818182,24.2291666667,4.93811529218,0.166666666667,0.0,1.0,1.0,0.0,0.0
**舞飞扬--陈湜,1.0,121.0,18.0,0.0249311294766,0.396551724138,28.9139784946,9.21855995329,0.330097087379,0.388888888889,13.0,0.923076923077,0.222222222222,0.0555555555556
**義詠恆ぜ娱乐公会,1.0,53.0,4.0,0.0243105950653,0.836734693878,26.8461538462,4.5771924075,0.175,1.0,4.0,1.0,0.25,0.0
**戏道-深圳游戏交流,1.0,233.0,69.0,0.0128755364807,0.68778280543,27.3048128342,5.12706234412,0.71144278607,0.0144927536232,57.0,0.877192982456,0.0434782608696,0.0144927536232
**世MU家族,1.0,63.0,5.0,0.0181771633385,0.916666666667,26.652173913,4.84192465911,0.333333333333,0.0,4.0,0.75,0.0,0.0
**州教院二附中社团。,1.0,55.0,2.0,0.117171717172,0.309090909091,16.4444444444,3.18948890987,0.927272727273,0.5,2.0,1.0,0.0,0.0
**爱学泡学PUA4,1.0,69.0,1.0,0.0117220801364,0.984848484848,25.8679245283,4.84490682134,0.396551724138,1.0,1.0,1.0,0.0,0.0
**春,1.0,57.0,36.0,0.395363408521,0.634615384615,21.9130434783,3.43147887346,0.68085106383,0.611111111111,11.0,0.727272727273,0.0,0.0277777777778
**　/Jmy~Spirit/,1.0,65.0,355.0,0.0641826923077,0.532258064516,22.0862068966,3.5636308623,0.229508196721,0.160563380282,28.0,0.5,0.010989010989,0.140845070423
**遠征軍團】韩服群,1.0,449.0,44180.0,0.00979856029271,0.869662921348,26.3301204819,4.99102169659,0.103211009174,0.128112267995,572.0,0.265734265734,0.20347692238,0.0989814395654
**京新干班,1.0,73.0,4.0,0.0913242009132,0.728571428571,28.640625,2.10183838802,0.469696969697,0.75,2.0,0.5,0.0,0.0
**铁官方贴吧群,1.0,207.0,30493.0,0.0312837108954,0.71568627451,20.9059405941,4.73307974973,0.950495049505,0.400157413177,572.0,0.215034965035,0.208487629035,0.053750040993
**海美发群,1.0,74.0,5.0,0.00962606442058,0.850746268657,26.6862745098,4.70914919287,0.301886792453,0.2,5.0,1.0,0.2,0.0
**销娱乐,1.0,79.0,1477.0,0.207075624797,0.544303797468,26.1527777778,3.83210024451,0.368421052632,0.0365605958023,224.0,0.705357142857,0.0670277589709,0.204468517265
**金会·圣彼得堡区,1.0,54.0,6.0,0.0901467505241,0.584905660377,27.152173913,2.75023628475,0.354166666667,0.0,4.0,1.0,0.0,0.0
**楚有才,1.0,119.0,26269.0,0.0366044722974,0.931623931624,24.6153846154,6.51736163105,0.296610169492,0.0800182724885,765.0,0.301960784314,0.23831455542,0.0247439948228
**工--东莞,1.0,107.0,46.0,0.058719802504,0.519230769231,30.1326530612,2.76876807168,0.767676767677,0.565217391304,17.0,0.705882352941,0.0434782608696,0.0217391304348
**隨鈊ゞ鎍慾,1.0,54.0,3.0,0.0237596086653,0.6,26.2,4.5343136195,0.416666666667,0.666666666667,3.0,1.0,0.333333333333,0.0
**殊资费群,1.0,309.0,15489.0,0.00643046274114,0.94966442953,28.3867595819,5.87205918284,0.869127516779,0.386984311447,557.0,0.289048473968,0.195031135649,0.0145264381174
delphi大联盟,1.0,69.0,78.0,0.0242966751918,0.901639344262,31.2115384615,3.94840054502,0.214285714286,0.025641025641,14.0,0.642857142857,0.153846153846,0.0769230769231
**北一ゞ惜缘★情谊ゞ,1.0,89.0,26.0,0.0144279877426,0.885714285714,22.5614035088,7.12302307165,0.559322033898,0.0769230769231,7.0,0.714285714286,0.04,0.0
Gty丶热舞派对华东2区,1.0,70.0,11.0,0.0614906832298,0.471428571429,26.0350877193,4.17160372326,0.137931034483,0.272727272727,9.0,0.888888888889,0.0,0.181818181818
**藤工TKMP后花园,1.0,96.0,41.0,0.0702850877193,0.210526315789,26.3012048193,6.05145594302,0.139534883721,0.0,3.0,0.0,0.0,0.0
**乡掌机窝,1.0,114.0,10.0,0.0140506132588,0.86,29.2763157895,4.55550183327,0.883116883117,0.2,6.0,0.833333333333,0.0,0.1
**24届校报记者团,1.0,76.0,2474.0,0.208771929825,0.407894736842,20.3815789474,5.0418436093,0.986842105263,0.639046079224,156.0,0.384615384615,0.114793856103,0.019805982215
**世体验服,1.0,114.0,45.0,0.0207265952492,0.694444444444,24.6086956522,5.6874318376,0.178947368421,0.177777777778,15.0,0.666666666667,0.333333333333,0.0
solarzoom论坛管理群,1.0,119.0,1008.0,0.0968523002421,0.887931034483,30.4954954955,4.14571063225,0.210526315789,0.121031746032,96.0,0.479166666667,0.0287698412698,0.0109126984127
**浪剑赋,1.0,92.0,1341.0,0.0564978499761,0.422222222222,19.1046511628,5.13317769519,0.119565217391,0.625652498136,156.0,0.384615384615,0.0755422587883,0.000745712155108
**百度﹏漂亮吧□,1.0,66.0,99.0,0.044289044289,0.693548387097,21.1632653061,2.55028560846,0.12,0.131313131313,2.0,0.5,1.0,0.0606060606061
**时代药业51发酵班,1.0,77.0,56.0,0.201982228298,0.636363636364,26.9436619718,2.38473622685,0.985915492958,0.321428571429,22.0,0.772727272727,0.607142857143,0.0357142857143
**南丽水中心2011秋班,1.0,89.0,238.0,0.0360061287028,0.348837209302,28.4578313253,7.18817838885,1.0,0.298319327731,48.0,0.625,0.105485232068,0.00420168067227
**格兰情调公会群,1.0,56.0,2614.0,0.0334415584416,0.892857142857,22.12,4.90974541091,0.52,0.288064269319,210.0,0.457142857143,0.271231828615,0.00459066564652
**务金融好友群,1.0,76.0,15.0,0.0277192982456,0.507936507937,25.8983050847,1.54804321814,0.966101694915,0.0,11.0,1.0,0.0,0.0
**宝+纬创+富士康,1.0,126.0,35.0,0.0163174603175,0.684210526316,24.5,3.72104203768,0.766355140187,0.0571428571429,22.0,0.909090909091,0.111111111111,0.0571428571429
**德,1.0,229.0,617.0,0.104995020302,0.377777777778,32.4703196347,8.21918822932,0.973214285714,0.0988654781199,203.0,0.566502463054,0.0145395799677,0.0162074554295
﹏□萌２酱粉丝①群,1.0,189.0,2580.0,0.00714848587189,0.908602150538,20.1420454545,6.61414155756,0.144444444444,0.529069767442,252.0,0.460317460317,0.253105590062,0.05
**心眼镜群论坛,1.0,90.0,236.0,0.0340823970037,0.734939759036,27.6625,4.81389590145,0.567901234568,0.199152542373,168.0,0.815476190476,0.0538116591928,0.00847457627119
QQ华夏2区【荣耀巅峰】,1.0,52.0,7.0,0.0150829562594,0.674418604651,21.8064516129,6.52745741558,0.212121212121,0.285714285714,5.0,1.0,0.333333333333,0.0
**戏梦想,1.0,114.0,60.0,0.0125756870051,0.963963963964,22.9902912621,4.79379685267,0.105769230769,0.333333333333,15.0,0.6,0.3,0.166666666667
**南易友交流1群,1.0,96.0,36.0,0.00964912280702,0.908045977011,23.5569620253,5.61360651564,0.634146341463,0.0277777777778,12.0,0.833333333333,0.305555555556,0.0277777777778
**瑞东北信息群,1.0,136.0,3.0,0.0745098039216,0.386363636364,29.2735849057,4.83019789209,0.428571428571,0.0,3.0,1.0,0.0,0.0
**米手机官方湖北群,1.0,137.0,11212.0,0.0117539716617,0.897810218978,27.1755725191,5.50153471444,0.751824817518,0.181858722797,475.0,0.313684210526,0.153955936134,0.0188191223689
**雪岩全国粉丝群,1.0,182.0,1006.0,0.0403132778823,0.118644067797,19.3928571429,3.59734643321,0.122807017544,0.55069582505,66.0,0.348484848485,0.194637537239,0.00298210735586
**膜天花,1.0,59.0,96.0,0.0330216247808,0.87037037037,26.9782608696,4.71117602984,0.14,0.65625,13.0,0.769230769231,0.0625,0.0208333333333
**阳LOL英雄联盟交友群,1.0,326.0,36583.0,0.00309579990562,0.919003115265,22.6984126984,5.09975075841,0.868098159509,0.383784818085,692.0,0.306358381503,0.226738464903,0.0489298307957
**闲娱乐会所,1.0,59.0,266.0,0.523962594974,0.576271186441,27.5517241379,3.243946159,0.672413793103,0.0451127819549,25.0,0.56,0.0563909774436,0.0112781954887
**装鞋业,1.0,85.0,68.0,0.0155462184874,0.619718309859,29.9574468085,4.99343162952,0.28,0.0,59.0,1.0,0.117647058824,0.0
Keep,1.0,75.0,66.0,0.0522522522523,0.943661971831,24.8888888889,2.52518181719,0.111111111111,0.424242424242,10.0,0.6,0.0,0.0
**海暖通群,1.0,137.0,33.0,0.0120759982825,0.69696969697,28.2596153846,5.5087259317,0.522935779817,0.0606060606061,28.0,0.892857142857,0.0909090909091,0.030303030303
oQo幻想de世界oQo,1.0,54.0,1635.0,0.0842068483578,0.660377358491,26.387755102,4.67654296934,0.549019607843,0.295412844037,76.0,0.5,0.108256880734,0.02874617737
**山E545户外手工群,1.0,84.0,25.0,0.0754446356856,0.215189873418,36.5230769231,10.3583599716,0.92,0.04,10.0,0.8,0.0,0.04
**物修缮古建筑工程,1.0,158.0,58.0,0.0112069660566,0.808219178082,31.3984375,7.17127499533,0.266666666667,0.224137931034,42.0,0.809523809524,0.298245614035,0.051724137931
A·V·K--瓦米军团,1.0,98.0,4.0,0.00988849147907,0.757142857143,22.6315789474,4.31493359079,0.27868852459,0.5,2.0,0.5,0.0,0.0
**ㄨ情ㄨ师【主力师】,1.0,67.0,55.0,0.0316598824062,0.827586206897,26.9622641509,5.19056569481,0.236363636364,0.236363636364,9.0,0.666666666667,0.0545454545455,0.0181818181818
**迷会天津分会2群,1.0,58.0,1.0,0.0157289776165,0.0769230769231,22.0909090909,2.52998546365,0.8,1.0,1.0,1.0,0.0,0.0
**摇杆可买百键盘,1.0,56.0,1488.0,0.00974025974026,0.981481481481,27.1,3.73764631821,0.294117647059,0.073252688172,119.0,0.512605042017,0.0530913978495,0.134408602151
時到丶花自开,1.0,94.0,703.0,0.00926561427591,0.905882352941,19.3424657534,3.78612889404,0.539473684211,0.496443812233,74.0,0.5,0.107954545455,0.0099573257468
**之队19区,1.0,64.0,7572.0,0.0421626984127,1.0,22.406779661,5.12924035102,0.15873015873,0.117010036978,408.0,0.433823529412,0.256738900634,0.013734812467
**界发骚友,1.0,73.0,4405.0,0.0121765601218,0.957142857143,20.4328358209,3.58364394136,0.573529411765,0.487854710556,258.0,0.403100775194,0.230192962543,0.0288308740068
**Soulmate。,1.0,87.0,212.0,0.0370221865811,0.925,20.2236842105,4.48857814848,0.428571428571,0.504716981132,18.0,0.666666666667,0.0518867924528,0.0
**龙官方游戏论坛基地,1.0,194.0,32.0,0.00280433737514,0.663366336634,24.4545454545,5.10549857531,0.119402985075,0.15625,13.0,1.0,0.0967741935484,0.0
**儿圜→尐班,1.0,51.0,5.0,0.409019607843,0.48,23.3265306122,3.46049279906,0.65306122449,0.6,3.0,0.666666666667,1.0,0.2
**计与艺术Ⅱ,1.0,57.0,2.0,0.0119047619048,0.428571428571,27.4716981132,3.03192929166,0.111111111111,0.0,1.0,1.0,0.0,0.0
17173公会群,1.0,109.0,15.0,0.0547910295617,0.798165137615,26.4831460674,4.86933158681,0.144444444444,0.0666666666667,10.0,0.6,0.333333333333,0.0666666666667
2.糖菓1.種皧,1.0,70.0,1.0,0.0594202898551,0.757575757576,25.6551724138,5.09073439637,0.448275862069,0.0,1.0,1.0,0.0,0.0
**华厨艺日照切磋群,1.0,88.0,54.0,0.0397074190178,0.952941176471,26.7564102564,4.96186972988,0.888888888889,0.740740740741,33.0,0.939393939394,0.175,0.0555555555556
**线、盘螺、螺纹钢群,1.0,100.0,240.0,0.0471717171717,0.582417582418,27.8333333333,5.5477723257,0.648648648649,0.0,72.0,0.888888888889,0.0458333333333,0.208333333333
**音粉丝小窝24群,1.0,167.0,17.0,0.00551908231729,0.385093167702,21.3684210526,4.61074861276,0.10625,0.0,6.0,1.0,0.0,0.0
**钢~冷轧镀锌卷,1.0,121.0,1947.0,0.018044077135,0.669491525424,29.3139534884,5.78543003147,0.784946236559,0.0,300.0,0.566666666667,0.00667693888033,0.0
LOL祖安,1.0,750.0,16681.0,0.00127992879395,0.920980926431,19.441011236,5.12286163555,0.144414168937,0.116899466459,797.0,0.33626097867,0.154962518741,0.0833283376296
**相约`‖,1.0,64.0,4.0,0.130952380952,0.645161290323,27.0377358491,3.87523469357,0.462962962963,0.5,4.0,1.0,0.5,0.25
**贤齐粉丝群★③群★,1.0,227.0,138.0,0.00688082335971,0.698630136986,24.3032786885,5.21015613539,0.104838709677,0.615942028986,74.0,0.905405405405,0.235772357724,0.0
**线通信技术,1.0,96.0,76.0,0.0105263157895,0.831460674157,29.3384615385,4.69787815632,0.358208955224,0.0,31.0,0.967741935484,0.0131578947368,0.0263157894737
**☆96娱乐台,1.0,193.0,68.0,0.000620682210708,0.434210526316,21.1111111111,6.54292568682,0.222222222222,0.823529411765,26.0,0.884615384615,0.0877192982456,0.0
**,1.0,141.0,18.0,0.00268490374873,0.464285714286,21.4761904762,5.84415905082,0.171875,0.5,8.0,0.875,0.375,0.166666666667
**程猎头精英群（二）,1.0,150.0,1067.0,0.0180760626398,0.780821917808,30.3873239437,4.32784725387,0.644295302013,0.238050609185,115.0,0.434782608696,0.00749765698219,0.029053420806
**税办税员群,1.0,67.0,7.0,0.0587969244686,0.194029850746,33.1774193548,9.16079337589,0.890625,0.0,4.0,1.0,0.0,0.0
**萱粉丝通知群,1.0,210.0,285.0,0.00250626566416,0.889423076923,21.9453551913,7.11937767892,0.108808290155,0.368421052632,72.0,0.625,0.198653198653,0.0350877192982
**师之怒,1.0,68.0,5.0,0.0248024582968,0.933333333333,27.0666666667,5.05920503197,0.145161290323,1.0,3.0,1.0,0.2,0.0
**印机碳粉,1.0,85.0,65.0,0.0259103641457,0.810810810811,29.1333333333,6.76379249304,0.333333333333,0.0,48.0,0.916666666667,0.0307692307692,0.0615384615385
**族公会1群,1.0,62.0,5.0,0.0713907985193,0.819672131148,25.5737704918,4.41851179009,0.114754098361,0.0,2.0,1.0,0.0,0.0
The,1.0,67.0,2.0,0.0174129353234,0.934426229508,25.7321428571,3.46663212143,0.196428571429,0.5,2.0,1.0,0.0,0.0
**杰伦经典网粉丝群,1.0,84.0,14.0,0.00530694205393,0.606557377049,20.3921568627,2.98413078206,0.192307692308,0.571428571429,5.0,1.0,0.428571428571,0.0
**过岗,1.0,55.0,113.0,0.143771043771,0.981481481481,29.7592592593,3.21417684402,0.685185185185,0.495575221239,30.0,0.866666666667,0.141592920354,0.0353982300885
**仙勿扰---第柒天堂,1.0,53.0,8.0,0.038824383164,0.490566037736,26.2727272727,9.04625396193,0.106382978723,0.25,3.0,0.333333333333,0.0,0.0
**群杀手不太冷,1.0,64.0,31.0,0.0272817460317,0.884615384615,22.375,2.76605163847,0.326530612245,0.0967741935484,7.0,0.428571428571,0.903225806452,0.0322580645161
**6班群,1.0,53.0,4.0,0.367561683599,0.666666666667,25.4222222222,0.95426269127,0.630434782609,0.25,2.0,0.5,0.0,0.0
**客联盟总群,1.0,99.0,23.0,0.0123685837972,0.936708860759,25.03125,4.64343875135,0.776119402985,0.565217391304,12.0,0.916666666667,0.35,0.0
**春浪漫,1.0,81.0,5.0,0.254938271605,0.615384615385,22.359375,4.02091091786,0.523076923077,0.2,2.0,1.0,0.0,0.0
**县钢筋工群,1.0,194.0,1544.0,0.0133539875007,0.942408376963,27.4176470588,6.21825919409,0.491428571429,0.613989637306,193.0,0.575129533679,0.42210730446,0.00259067357513
**丿莫离丶（英雄岛）,1.0,58.0,1486.0,0.0468844525106,0.8,21.4468085106,4.8369522259,0.229166666667,0.265814266487,138.0,0.572463768116,0.526917900404,0.0235531628533
**落下孤灯】,1.0,129.0,35620.0,0.0297965116279,0.788617886179,24.4285714286,4.21396523493,0.198347107438,0.0925884334643,579.0,0.231433506045,0.163793587512,0.123947220663
**都啥火玩啥讨论群,1.0,98.0,15093.0,0.0140963601936,0.795918367347,25.5263157895,4.16967020093,0.639175257732,0.393029881402,459.0,0.283224400871,0.161745233051,0.111773669913
゛働粅卋鎅゛,1.0,52.0,2.0,0.0237556561086,0.526315789474,24.3214285714,3.49544163803,0.857142857143,0.5,2.0,1.0,0.0,0.0
**爱生活□爱家小,1.0,239.0,24246.0,0.0228015892549,0.706382978723,23.004587156,4.34466635623,0.215859030837,0.32091891446,683.0,0.393850658858,0.163718091468,0.170956033985
**移花宫〓之恋,1.0,58.0,32.0,0.029945553539,0.732142857143,23.9069767442,3.85682091937,0.204545454545,0.5,17.0,0.882352941176,0.310344827586,0.09375
**西业务行业交流论谈,1.0,174.0,86.0,0.00308949571457,0.658536585366,28.2558139535,4.59318516053,0.633333333333,0.0581395348837,69.0,0.869565217391,0.0348837209302,0.0116279069767
゛铭情娱乐□>Yy331279,1.0,104.0,46.0,0.0137229275579,0.841584158416,17.0103092784,3.64534683022,0.19387755102,0.391304347826,24.0,0.875,0.227272727273,0.0434782608696
**质管理群,1.0,61.0,7.0,0.00901639344262,0.689655172414,28.9818181818,4.87849048595,0.410714285714,0.0,5.0,1.0,0.428571428571,0.0
**你一世的情,1.0,62.0,356.0,0.0338445267054,0.779661016949,23.2432432432,4.38920915985,0.410256410256,0.865168539326,31.0,0.354838709677,0.261235955056,0.0168539325843
**瓜家族,1.0,56.0,2.0,0.116233766234,0.660377358491,23.5434782609,3.14647160386,0.608695652174,1.0,2.0,1.0,0.0,0.0
**译家园贴吧,1.0,82.0,480.0,0.0459199036435,0.609756097561,21.0379746835,3.21169949086,0.775,0.408333333333,56.0,0.607142857143,0.0604166666667,0.00208333333333
**哮吧！⒋□文科骚年,1.0,131.0,42.0,0.178038755138,0.444444444444,18.0322580645,2.44927732551,0.776,0.0,7.0,1.0,0.0,0.0
**里区教育工会群,1.0,92.0,376.0,0.0468227424749,0.362637362637,32.6913580247,10.4723527552,0.956043956044,0.0744680851064,134.0,0.567164179104,0.0345744680851,0.0186170212766
**界★王者、风范,1.0,55.0,1.0,0.0289562289562,0.981481481481,20.9347826087,2.8315165234,0.382978723404,0.0,1.0,1.0,1.0,0.0
**京精雕-神奇艺术村,1.0,118.0,78.0,0.0167318557149,0.858695652174,29.2976190476,6.19096838703,0.290697674419,0.576923076923,29.0,0.965517241379,0.0181818181818,0.0
**天酒地-帅哥聚会(七),1.0,177.0,466.0,0.0238186954289,0.948717948718,25.0601503759,5.19363317354,0.797101449275,0.141630901288,260.0,0.811538461538,0.321739130435,0.00858369098712
**家洋洲明珠,1.0,91.0,470.0,0.0217338217338,0.620689655172,30.8641975309,5.55500683161,0.530120481928,0.604255319149,47.0,0.510638297872,0.496828752643,0.0191489361702
**国冷轧镀锌信息交流,1.0,271.0,2624.0,0.0250512505125,0.666666666667,28.6761363636,5.03879256637,0.704301075269,0.0,389.0,0.508997429306,0.00990853658537,0.0
DNF湖五,1.0,124.0,1300.0,0.00990034093889,0.965217391304,19.5306122449,4.62514000148,0.44,0.16,227.0,0.555066079295,0.264049268668,0.0684615384615
**士康IDSBG,1.0,51.0,10.0,0.0478431372549,0.720930232558,24.575,2.97394939432,0.45,0.7,7.0,0.857142857143,0.0,0.2
